2021-02-03 16:50:33.7919 |  | INFO | Microsoft.Hosting.Lifetime | Now listening on: https://localhost:5001 - 
2021-02-03 16:50:33.8309 |  | INFO | Microsoft.Hosting.Lifetime | Now listening on: http://localhost:5000 - 
2021-02-03 16:50:33.8309 |  | INFO | Microsoft.Hosting.Lifetime | Application started. Press Ctrl+C to shut down. - 
2021-02-03 16:50:33.8309 |  | INFO | Microsoft.Hosting.Lifetime | Hosting environment: Development - 
2021-02-03 16:50:33.8399 |  | INFO | Microsoft.Hosting.Lifetime | Content root path: C:\Users\user\source\repos\TestNLogApp\TestNLog - 
2021-02-03 17:21:46.1625 |  | INFO | Microsoft.Hosting.Lifetime | Now listening on: https://localhost:5001 - 
2021-02-03 17:21:46.2009 |  | INFO | Microsoft.Hosting.Lifetime | Now listening on: http://localhost:5000 - 
2021-02-03 17:21:46.2009 |  | INFO | Microsoft.Hosting.Lifetime | Application started. Press Ctrl+C to shut down. - 
2021-02-03 17:21:46.2009 |  | INFO | Microsoft.Hosting.Lifetime | Hosting environment: Development - 
2021-02-03 17:21:46.2009 |  | INFO | Microsoft.Hosting.Lifetime | Content root path: C:\Users\user\source\repos\TestNLogApp\TestNLog - 
2021-02-03 17:21:47.2546 |  | INFO | TestNLog.Controllers.MainController | this is information frfom maincontroller - 
2021-02-03 17:28:40.2072 |  | INFO | Microsoft.Hosting.Lifetime | Now listening on: https://localhost:5001 - 
2021-02-03 17:28:40.2440 |  | INFO | Microsoft.Hosting.Lifetime | Now listening on: http://localhost:5000 - 
2021-02-03 17:28:40.2495 |  | INFO | Microsoft.Hosting.Lifetime | Application started. Press Ctrl+C to shut down. - 
2021-02-03 17:28:40.2495 |  | INFO | Microsoft.Hosting.Lifetime | Hosting environment: Development - 
2021-02-03 17:28:40.2495 |  | INFO | Microsoft.Hosting.Lifetime | Content root path: C:\Users\user\source\repos\TestNLogApp\TestNLog - 
2021-02-03 17:28:41.2368 |  | INFO | TestNLog.Controllers.MainController | this is information frfom maincontroller - 
2021-02-03 17:28:41.2368 |  | INFO | ruleOne | This is Nlog info - 
